k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,k_tick
150,prog,g1,263980791000,-0.479564,-0.04372611,-0.0,0.01105096,-0.13729998540000032,-0.0,0.03470001439999981,1.30109,0.345569504,0.4947691559791565,-0.0010996758937835693,-0.1404167115688324,-2.808492422103882,-0.24418795108795166,-14.528398513793945,151
151,prog,g1,264008586000,-0.482068,-0.02767516,-0.0,0.01133758,-0.08690000240000018,-0.0,0.03560000119999973,1.2948300000000001,0.34390684800000004,0.4248209297657013,-0.001181289553642273,-0.07791636884212494,-2.830244302749634,-0.25175148248672485,-13.948840141296387,152
152,prog,g1,264036296000,-0.477292,-0.02,-0.0,0.0089172,-0.06280000000000019,-0.0,0.0280000079999998,1.3067699999999998,0.34707811199999994,0.27743878960609436,-0.0012684166431427002,-0.06733720004558563,-2.845907688140869,-0.26905328035354614,-13.534879684448242,153
153,prog,g1,264057095000,-0.477292,-0.02,-0.0,0.0089172,-0.06280000000000019,-0.0,0.0280000079999998,1.3067699999999998,0.34707811199999994,0.20644085109233856,-0.0009791776537895203,-0.07614253461360931,-2.8589372634887695,-0.2721184492111206,-13.68727970123291,154
154,prog,g1,264084893000,-0.478656,-0.01429936,-0.0,0.00388535,-0.04489999039999981,-0.0,0.012199998999999906,1.30336,0.34617241600000004,0.1949431449174881,-0.0008553639054298401,-0.07787889987230301,-2.8763794898986816,-0.2665603756904602,-13.854801177978516,155
155,prog,g1,264105762000,-0.478656,-0.01429936,-0.0,0.00388535,-0.04489999039999981,-0.0,0.012199998999999906,1.30336,0.34617241600000004,0.1727536916732788,-0.0006017312407493591,-0.06477433443069458,-2.8889474868774414,-0.26444166898727417,-13.826395034790039,156
156,prog,g1,264133551000,-0.484588,-0.00869427,-0.0,-0.0006051,-0.02730000780000008,-0.0,-0.001900014000000283,1.28853,0.342233568,0.14315198361873627,-0.0005242824554443359,-0.031302593648433685,-2.9040796756744385,-0.26188114285469055,-13.775338172912598,157
157,prog,g1,264154340000,-0.486256,-0.00853503,-0.0,-0.00194268,-0.02679999420000012,-0.0,-0.00610001519999992,1.28436,0.341126016,0.13230469822883606,-0.000605214387178421,-0.01643379032611847,-2.914287567138672,-0.259519100189209,-13.584980010986328,158
158,prog,g1,264182117000,-0.486256,-0.00853503,-0.0,-0.00194268,-0.02679999420000012,-0.0,-0.00610001519999992,1.28436,0.341126016,0.08984377980232239,-0.0005095303058624268,0.008956868201494217,-2.926812171936035,-0.2588129937648773,-13.206232070922852,159
159,prog,g1,264203282000,-0.485576,-0.00926752,-0.0,-0.00200637,-0.029100012799999853,-0.0,-0.006300001800000121,1.28606,0.341577536,0.08982295542955399,-0.00041161850094795227,0.02232123166322708,-2.935206413269043,-0.2554318606853485,-13.109418869018555,160
160,prog,g1,264230890000,-0.489896,-0.01187898,-0.0,0.00038217,-0.03729999719999988,-0.0,0.0012000137999996774,1.27526,0.338709056,0.097738116979599,-0.0004498511552810669,0.023980434983968735,-2.945833683013916,-0.25045743584632874,-13.129853248596191,161
161,prog,g1,264251565000,-0.488672,-0.00678344,-0.0,-0.00350318,-0.021300001599999785,-0.0,-0.010999985200000229,1.27832,0.339521792,0.10631687194108963,-0.0004501640796661377,0.017511514946818352,-2.953695297241211,-0.24629753828048706,-13.041930198669434,162
162,prog,g1,264279445000,-0.487936,-0.01197452,-0.0,-0.00165605,-0.03759999280000015,-0.0,-0.005199997000000067,1.2801600000000002,0.34001049600000005,0.11052779108285904,-0.00036096200346946716,0.0016448982059955597,-2.964801549911499,-0.2412967085838318,-12.8926362991333,163
