t,a_thrust,a_roll,a_pitch,a_yaw,seg,gate,src_k,kf_speed
7.1500,-0.50911200,-0.04398089,-0.00000000,-0.02735669,g3,3,185,11.20
7.1750,-0.50911200,-0.04398089,-0.00000000,-0.02735669,g3,3,185,11.20
7.2000,-0.52427600,-0.06799363,-0.00000000,-0.02175159,g3,3,186,11.31
7.2250,-0.53588800,-0.08407643,-0.00000000,-0.01863057,g3,3,187,11.47
7.2500,-0.54575200,-0.09652866,-0.00000000,-0.01732484,g3,3,188,11.53
7.2750,-0.58839200,-0.03280255,-0.00000000,-0.02343949,g3,3,189,11.62
7.3000,-0.58839200,-0.03280255,-0.00000000,-0.02343949,g3,3,189,11.62
7.3250,-0.58839200,-0.03280255,-0.00000000,-0.02343949,g3,3,189,11.62
7.3500,-0.66856000,0.05334395,-0.00000000,-0.02350318,g3,3,190,11.74
7.3750,-0.77860000,0.09738854,-0.00000000,-0.03245223,g3,3,191,11.83
7.4000,-0.88804400,0.14643312,-0.00000000,-0.03152866,g3,3,192,11.75
7.4250,-0.88804400,0.14643312,-0.00000000,-0.03152866,g3,3,192,11.75
7.4500,-0.63799200,0.28538217,-0.00000000,-0.13359873,g4,4,193,11.64
7.4750,-0.53879600,0.23894904,-0.00000000,-0.09229299,g4,4,194,11.32
7.5000,-0.53532400,0.20270701,-0.00000000,-0.08165605,g4,4,195,11.18
7.5250,-0.53532400,0.20270701,-0.00000000,-0.08165605,g4,4,195,11.18
7.5500,-0.53532400,0.20270701,-0.00000000,-0.08165605,g4,4,195,11.18
7.5750,-0.53275200,0.10022293,-0.00000000,-0.05194268,g4,4,196,11.28
7.6000,-0.52292400,0.06636943,-0.00000000,-0.03675159,g4,4,197,11.45
7.6250,-0.51042400,0.05044586,-0.00000000,-0.02636943,g4,4,198,11.55
7.6500,-0.49980000,0.04063694,-0.00000000,-0.02480892,g4,4,199,11.66
7.6750,-0.49980000,0.04063694,-0.00000000,-0.02480892,g4,4,199,11.66
7.7000,-0.50040800,0.03343949,-0.00000000,-0.01939490,g4,4,200,11.75
7.7250,-0.50040800,0.03343949,-0.00000000,-0.01939490,g4,4,200,11.75
7.7500,-0.50437200,0.00066879,-0.00000000,-0.00770701,g4,4,201,11.97
7.7750,-0.49748400,-0.01292994,-0.00000000,-0.00573248,g4,4,202,12.49
7.8000,-0.49748400,-0.01292994,-0.00000000,-0.00573248,g4,4,202,12.49
