t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
2.625825,-0.095542,-0.067770,-10.906188,-0.3392503,0.0308182,0.4811981
2.632688,-0.035748,-0.143117,-11.184066,-0.4248224,0.0288733,0.4354623
2.639571,-0.044973,-0.137331,-11.363448,-0.4719574,0.0267442,0.3952832
2.646642,-0.099092,-0.080959,-11.463124,-0.4867440,0.0247699,0.3630037
2.660498,-0.092031,-0.090221,-11.715053,-0.4601415,0.0227533,0.3257627
2.667668,-0.130021,-0.051520,-11.764964,-0.4381481,0.0227902,0.3201631
2.674423,-55.189537,-12.560396,-102.355087,-12.9854479,-9.4057903,5.2879438
2.681861,0.713416,-1.152186,-14.919296,-10.8593149,-7.7448168,4.9060946
2.695321,-4.522340,-129.305893,-214.401306,9.9904499,1.8129320,-0.7667748
2.702194,-6.875905,-15.039845,-46.984497,4.0918236,-1.4894642,-0.3243188
2.709179,-3.584247,-3.633562,-30.934500,2.2093463,-1.1895665,-0.1973204
2.716120,0.271801,-1.216383,-24.330944,1.3893611,-0.2066801,-0.1794664
2.723035,-0.092971,0.102489,-20.388838,0.8408523,0.6492120,-0.1355317
2.736942,-0.111923,-0.018559,-17.690815,0.0371794,0.9435967,0.0528714
2.743939,-0.085697,-0.021272,-14.971183,-0.1456958,0.7436352,0.1662700
2.750812,-0.041473,-0.039254,-13.046468,-0.2010747,0.5038990,0.2757854
2.757720,-0.023621,-0.030076,-11.630026,-0.1708232,0.2994741,0.3724541
2.771806,0.009366,-0.031954,-10.068196,-0.0210115,0.0840218,0.5071191
2.778670,0.001535,-0.017796,-9.711799,0.0386035,0.0602594,0.5413158
