t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
2.021108,0.000135,0.003126,-9.809530,0.0005491,0.0005323,0.0000382
2.027948,-0.000104,-0.003420,-9.810487,0.0006346,0.0005536,-0.0000279
2.034902,0.000235,0.003199,-9.809792,0.0005463,0.0005492,0.0000382
2.048742,0.000266,0.003291,-9.809689,0.0005432,0.0005443,0.0000386
2.055815,0.000003,0.000164,-9.810288,0.0005068,0.0005263,0.0000387
2.062613,-0.000150,-0.003792,-9.810081,0.0006327,0.0005606,-0.0000287
2.069719,0.000067,0.003112,-9.809471,0.0005491,0.0005323,0.0000381
2.076552,-0.000104,-0.003421,-9.810488,0.0006346,0.0005535,-0.0000279
2.090720,0.000123,0.000238,-9.810446,0.0005067,0.0005261,0.0000388
2.097398,-0.000040,-0.004038,-9.809702,0.0006632,0.0005778,-0.0000286
2.104364,-0.000174,0.003580,-9.810020,0.0005173,0.0005035,0.0000391
2.111374,0.000217,-0.003621,-9.810773,0.0006317,0.0005885,-0.0000295
2.125194,-0.000100,-0.003361,-9.810484,0.0006346,0.0005535,-0.0000279
2.132115,0.000169,0.003260,-9.809419,0.0005459,0.0005274,0.0000385
2.139093,0.000099,0.000188,-9.810562,0.0005067,0.0005263,0.0000388
2.146018,-0.000040,-0.003898,-9.809712,0.0006632,0.0005778,-0.0000286
2.159899,0.000128,-0.003563,-9.810249,0.0006327,0.0005603,-0.0000285
2.166808,0.000076,0.003198,-9.809451,0.0005492,0.0005323,0.0000381
2.173812,0.000127,0.000250,-9.810461,0.0005068,0.0005261,0.0000388
2.180699,-0.000038,-0.003917,-9.809711,0.0006632,0.0005778,-0.0000286
2.194568,-0.000222,-0.003479,-9.810314,0.0006347,0.0005537,-0.0000280
2.201609,0.000133,0.003142,-9.809529,0.0005490,0.0005323,0.0000381
2.208585,0.000143,0.000374,-9.810560,0.0004965,0.0005235,0.0000401
2.215443,-0.000211,-0.003874,-9.809916,0.0006336,0.0005544,-0.0000280
2.222544,0.000115,0.003103,-9.809534,0.0005490,0.0005323,0.0000381
2.236389,0.000082,0.003141,-9.809465,0.0005491,0.0005323,0.0000381
2.243258,-0.000103,-0.003404,-9.810487,0.0006346,0.0005536,-0.0000279
2.250196,0.000265,0.003269,-9.809689,0.0005433,0.0005443,0.0000386
2.257178,0.000003,0.000167,-9.810292,0.0005068,0.0005263,0.0000387
2.271090,0.000068,0.003169,-9.809461,0.0005491,0.0005323,0.0000381
2.278019,-0.000102,-0.003375,-9.810483,0.0006346,0.0005536,-0.0000279
2.284919,0.000138,0.003207,-9.809518,0.0005490,0.0005323,0.0000381
2.291938,0.000127,0.000247,-9.810460,0.0005068,0.0005261,0.0000388
2.298896,-0.000037,-0.003878,-9.809714,0.0006632,0.0005778,-0.0000286
2.312668,0.000002,-0.003408,-9.810769,0.0006318,0.0005705,-0.0000279
2.319649,0.000032,0.003335,-9.809883,0.0005159,0.0005320,0.0000381
2.326656,-0.000083,-0.003503,-9.809860,0.0006330,0.0005536,-0.0000277
2.333524,0.000129,0.003201,-9.809505,0.0005490,0.0005324,0.0000381
2.347427,-0.000298,-0.003773,-9.809739,0.0006340,0.0005542,-0.0000281
2.354504,0.000120,0.003119,-9.809533,0.0005491,0.0005323,0.0000381
2.361296,0.000049,-0.003434,-9.810832,0.0006306,0.0005769,-0.0000285
2.368283,-0.000013,0.003153,-9.809191,0.0005492,0.0005323,0.0000381
2.375207,0.000128,0.000257,-9.810470,0.0005068,0.0005261,0.0000388
2.389232,0.000068,0.003124,-9.809468,0.0005491,0.0005323,0.0000381
2.396030,-0.000105,-0.003438,-9.810491,0.0006346,0.0005535,-0.0000279
2.403220,0.000257,0.003152,-9.809702,0.0005432,0.0005442,0.0000386
2.409983,0.000003,0.000175,-9.810300,0.0005068,0.0005263,0.0000387
2.423875,0.000068,0.003163,-9.809463,0.0005491,0.0005323,0.0000381
2.430785,-0.000102,-0.003383,-9.810485,0.0006345,0.0005536,-0.0000279
2.437867,0.000135,0.003121,-9.809529,0.0005491,0.0005323,0.0000381
2.444736,-0.000050,-0.003415,-9.810548,0.0006334,0.0005600,-0.0000286
2.451642,0.000084,0.003211,-9.809454,0.0005492,0.0005323,0.0000381
2.465476,-0.000145,-0.003741,-9.810076,0.0006327,0.0005606,-0.0000287
2.472511,0.000068,0.003143,-9.809466,0.0005492,0.0005323,0.0000381
2.479400,-0.000103,-0.003393,-9.810486,0.0006346,0.0005535,-0.0000279
2.486456,0.000261,0.003213,-9.809695,0.0005432,0.0005443,0.0000386
2.500217,-0.000041,-0.003890,-9.809714,0.0006632,0.0005778,-0.0000286
2.507338,-0.000147,0.003429,-9.810179,0.0005192,0.0005148,0.0000380
2.514115,0.000020,-0.003606,-9.810125,0.0006340,0.0005539,-0.0000279
2.521077,0.000130,0.003168,-9.809519,0.0005490,0.0005324,0.0000381
2.534934,0.000088,0.003284,-9.809471,0.0005466,0.0005317,0.0000384
2.541887,0.000223,0.000242,-9.810712,0.0005039,0.0005431,0.0000389
2.548820,-0.000295,-0.003734,-9.809741,0.0006341,0.0005542,-0.0000281
2.555906,0.000119,0.003116,-9.809533,0.0005490,0.0005323,0.0000381
2.562733,0.000049,-0.003416,-9.810827,0.0006306,0.0005769,-0.0000285
2.576633,0.000129,0.000261,-9.810474,0.0005068,0.0005261,0.0000388
2.583735,-0.000140,-0.003635,-9.810074,0.0006327,0.0005605,-0.0000287
2.590608,0.000069,0.003220,-9.809454,0.0005491,0.0005323,0.0000381
2.597492,-0.000103,-0.003395,-9.810486,0.0006346,0.0005536,-0.0000279
2.611356,0.000003,0.000170,-9.810294,0.0005068,0.0005263,0.0000387
2.618328,-0.000146,-0.003700,-9.810079,0.0006327,0.0005605,-0.0000287
2.625292,0.000069,0.003177,-9.809460,0.0005491,0.0005323,0.0000381
2.632162,-0.000104,-0.003403,-9.810487,0.0006346,0.0005536,-0.0000279
2.646076,-0.000050,-0.003445,-9.810554,0.0006334,0.0005600,-0.0000286
2.653066,0.000083,0.003171,-9.809460,0.0005492,0.0005323,0.0000381
2.660024,0.000128,0.000253,-9.810466,0.0005068,0.0005262,0.0000388
2.666908,-0.000141,-0.003711,-9.810101,0.0006300,0.0005598,-0.0000282
2.680790,-0.000105,-0.003412,-9.810488,0.0006346,0.0005536,-0.0000279
2.687831,0.000262,0.003221,-9.809695,0.0005432,0.0005443,0.0000386
2.694667,0.000003,0.000172,-9.810298,0.0005068,0.0005263,0.0000387
2.701640,-0.000041,-0.003870,-9.809716,0.0006633,0.0005777,-0.0000286
2.708615,-0.000150,0.003504,-9.810183,0.0005191,0.0005148,0.0000380
