t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
2.181221,7.296317,-7.502208,-24.326031,1.372480,-1.468229,-0.038462
2.188313,5.644903,-4.726471,-25.120695,1.325169,-1.137505,-0.098050
2.195301,4.771855,-3.335061,-23.673449,1.056701,-0.725219,-0.112499
2.202036,4.386915,-2.328793,-22.036257,0.757737,-0.403081,-0.069576
2.209112,3.610252,-1.665989,-18.631542,0.478041,-0.199576,-0.018508
2.222921,3.208728,-0.633076,-8.021526,0.291358,-0.240278,0.004794
2.229936,3.262487,-0.509786,-5.625853,0.346776,-0.411701,0.009226
2.236753,3.418872,-0.421875,-5.771857,0.409040,-0.561568,0.012777
2.243805,4.235331,-0.895289,-8.468569,0.560365,-0.480277,0.012819
2.257750,5.736019,-1.857484,-11.027716,0.864248,-0.007621,-0.007774
2.264583,5.570443,-1.134470,-10.801896,0.810271,-0.003755,-0.004260
2.271516,9.253119,4.930923,-19.766109,0.283460,0.023528,0.001480
2.278560,7.746095,5.590234,-13.832731,0.061675,0.003308,0.000331
2.292414,8.036272,6.325968,-10.005294,0.000554,-0.003651,0.000065
2.299270,4.452188,3.498381,-9.878319,0.005255,-0.010814,0.000403
2.306228,0.057289,-0.009429,-9.876898,0.003257,-0.003259,-0.000186
2.313216,0.020092,0.019861,-9.904883,0.001346,-0.000061,0.000028
2.320211,0.003970,-0.000683,-9.828404,0.000906,0.000558,-0.000056
2.333986,0.000034,-0.003244,-9.811285,0.000635,0.000553,-0.000028
2.341023,0.000144,0.003144,-9.809525,0.000549,0.000532,0.000038
2.347959,-0.000101,-0.003372,-9.810482,0.000635,0.000553,-0.000028
2.354921,0.000168,0.003240,-9.809421,0.000546,0.000527,0.000039
2.368772,-0.000146,-0.003727,-9.810079,0.000633,0.000560,-0.000029
2.375723,0.000069,0.003183,-9.809460,0.000549,0.000532,0.000038
2.382674,-0.000102,-0.003363,-9.810481,0.000635,0.000553,-0.000028
2.389570,0.000144,0.003256,-9.809554,0.000545,0.000531,0.000039
2.403503,-0.000367,-0.003540,-9.810314,0.000635,0.000554,-0.000028
2.410487,0.000257,0.003251,-9.809696,0.000543,0.000544,0.000039
2.417371,-0.000228,-0.003481,-9.810310,0.000635,0.000554,-0.000028
2.424345,0.000133,0.003173,-9.809525,0.000549,0.000532,0.000038
2.431278,0.000128,0.000253,-9.810466,0.000507,0.000526,0.000039
2.445196,0.000122,0.003156,-9.809525,0.000549,0.000532,0.000038
2.452117,-0.000049,-0.003390,-9.810545,0.000633,0.000560,-0.000029
2.459078,0.000180,0.003203,-9.809729,0.000546,0.000549,0.000038
2.466028,-0.000198,-0.003386,-9.810207,0.000635,0.000554,-0.000028
2.479900,0.000100,0.000188,-9.810561,0.000507,0.000526,0.000039
2.486794,-0.000041,-0.003915,-9.809711,0.000663,0.000578,-0.000029
2.493843,-0.000202,0.003474,-9.810121,0.000520,0.000508,0.000039
2.500698,0.000128,-0.003582,-9.810251,0.000633,0.000560,-0.000028
2.507718,0.000075,0.003147,-9.809460,0.000549,0.000532,0.000038
2.521537,-0.000038,-0.003892,-9.809713,0.000663,0.000578,-0.000029
2.528567,0.000081,0.003386,-9.809990,0.000544,0.000544,0.000038
2.535398,-0.000223,-0.003497,-9.810316,0.000635,0.000554,-0.000028
2.542477,0.000135,0.003144,-9.809547,0.000547,0.000532,0.000038
2.556291,-0.000197,-0.003692,-9.810014,0.000634,0.000554,-0.000028
2.563301,0.000122,0.003148,-9.809527,0.000549,0.000532,0.000038
2.570182,-0.000104,-0.003399,-9.810485,0.000635,0.000554,-0.000028
2.577121,0.000265,0.003269,-9.809690,0.000543,0.000544,0.000039
2.591097,-0.000041,-0.003912,-9.809712,0.000663,0.000578,-0.000029
2.597961,-0.000154,0.003561,-9.810185,0.000519,0.000515,0.000038
2.604871,0.000020,-0.003538,-9.810122,0.000634,0.000554,-0.000028
2.611872,0.000129,0.003151,-9.809523,0.000549,0.000532,0.000038
2.618789,-0.000049,-0.003392,-9.810545,0.000633,0.000560,-0.000029
2.632662,0.000128,0.000253,-9.810467,0.000507,0.000526,0.000039
2.639612,-0.000144,-0.003712,-9.810076,0.000633,0.000561,-0.000029
2.646598,0.000068,0.003166,-9.809463,0.000549,0.000532,0.000038
2.653465,-0.000104,-0.003403,-9.810487,0.000635,0.000554,-0.000028
2.667382,0.000003,0.000170,-9.810296,0.000507,0.000526,0.000039
2.674392,-0.000040,-0.003849,-9.809718,0.000663,0.000578,-0.000029
2.681266,-0.000046,0.003383,-9.809818,0.000550,0.000532,0.000038
2.688210,-0.000094,-0.003359,-9.810483,0.000635,0.000554,-0.000028
2.702136,0.000002,-0.003303,-9.810794,0.000627,0.000569,-0.000027
2.709134,0.000036,0.003081,-9.809215,0.000549,0.000532,0.000038
2.716006,0.000224,0.000274,-9.810745,0.000504,0.000543,0.000039
2.722936,-0.000294,-0.003735,-9.809740,0.000634,0.000554,-0.000028
2.737009,-0.000006,-0.003403,-9.810763,0.000632,0.000570,-0.000028
2.743848,0.000149,0.003312,-9.809572,0.000540,0.000548,0.000039
2.750757,0.000024,0.000158,-9.810134,0.000507,0.000526,0.000039
2.757735,-0.000200,-0.003687,-9.810017,0.000634,0.000554,-0.000028
2.764692,0.000122,0.003172,-9.809523,0.000549,0.000532,0.000038
2.778565,0.000263,0.003236,-9.809692,0.000543,0.000544,0.000039
2.785496,0.000003,0.000170,-9.810293,0.000507,0.000526,0.000039
2.792521,-0.000040,-0.003840,-9.809719,0.000663,0.000578,-0.000029
2.799397,-0.000153,0.003556,-9.810185,0.000519,0.000515,0.000038
2.806275,0.000020,-0.003554,-9.810122,0.000634,0.000554,-0.000028
2.820211,-0.000050,-0.003396,-9.810547,0.000633,0.000560,-0.000029
2.827250,0.000082,0.003149,-9.809464,0.000549,0.000532,0.000038
2.834098,0.000132,0.000279,-9.810491,0.000505,0.000526,0.000039
2.841151,-0.000047,-0.003662,-9.810325,0.000630,0.000578,-0.000029
2.848024,-0.000030,0.003198,-9.809176,0.000549,0.000532,0.000038
2.861951,0.000262,0.003230,-9.809692,0.000543,0.000544,0.000039
2.869002,0.000004,0.000165,-9.810289,0.000507,0.000526,0.000039
2.875962,-0.000128,-0.003546,-9.810182,0.000621,0.000557,-0.000027
2.882824,0.000079,0.003237,-9.809482,0.000535,0.000529,0.000040
2.896793,-0.000346,-0.003580,-9.810470,0.000636,0.000565,-0.000029
2.903672,0.000105,0.003290,-9.809356,0.000549,0.000532,0.000038
2.910670,-0.000098,-0.003341,-9.810477,0.000635,0.000554,-0.000028
2.917592,0.000168,0.003259,-9.809419,0.000546,0.000527,0.000039
2.924577,-0.000129,-0.003413,-9.810575,0.000635,0.000554,-0.000028
2.931490,0.000138,0.003220,-9.809536,0.000547,0.000532,0.000038
2.945401,0.000231,0.003169,-9.809793,0.000546,0.000549,0.000038
2.952272,0.000031,0.000235,-9.810196,0.000507,0.000526,0.000039
2.959291,-0.000195,-0.003660,-9.810019,0.000634,0.000554,-0.000028
2.966152,0.000154,0.003277,-9.809412,0.000546,0.000527,0.000039
2.980133,-0.000137,0.003466,-9.810180,0.000519,0.000515,0.000038
2.986956,0.000254,0.000104,-9.810109,0.000506,0.000526,0.000039
